genus,species,fangs,toxicity,rating,common name
Acrochordus,arafurae,non-fanged,non-venomous,unclear dangerousness,Arafura file snake
Acrochordus,granulatus,non-fanged,non-venomous,unclear dangerousness,Little file snake
Acrochordus,javanicus,non-fanged,non-venomous,unclear dangerousness,Elephant Trunk Snake
Boa,constrictor,non-fanged,non-venomous,constrictor dangerous,Boa constrictor
Boa,imperator,non-fanged,non-venomous,unclear dangerousness,Imperator boa
Chilabothrus,angulifer,non-fanged,non-venomous,constrictor dangerous,Cuban tree boa
Chilabothrus,argentum,non-fanged,non-venomous,unclear dangerousness,Conception Bank silver boa
Chilabothrus,chrysogaster,non-fanged,non-venomous,unclear dangerousness,Turk's Island boa
Chilabothrus,exsul,non-fanged,non-venomous,unclear dangerousness,Abaco Island boa
Chilabothrus,fordii,non-fanged,non-venomous,unclear dangerousness,Ford’s Boa
Chilabothrus,gracilis,non-fanged,non-venomous,unclear dangerousness,Hispaniola boa
Chilabothrus,granti,non-fanged,non-venomous,unclear dangerousness,Virgin Islands boa
Chilabothrus,inornatus,non-fanged,non-venomous,constrictor dangerous,Puerto Rican boa
Chilabothrus,monensis,non-fanged,non-venomous,unclear dangerousness,Mona Island Boa
Chilabothrus,striatus,non-fanged,non-venomous,unclear dangerousness,Hispaniolan boa
Chilabothrus,strigilatus,non-fanged,non-venomous,unclear dangerousness,Haitian boa
Chilabothrus,subflavus,non-fanged,non-venomous,constrictor dangerous,Jamaican boa
Corallus,annulatus,non-fanged,non-venomous,unclear dangerousness,Ringed tree boa
Corallus,batesii,non-fanged,non-venomous,unclear dangerousness,Bates' tree boa
Corallus,blombergi,non-fanged,non-venomous,unclear dangerousness,Ecuadorian annulated tree boa
Corallus,caninus,non-fanged,non-venomous,constrictor dangerous,Emerald tree boa
Corallus,cookii,non-fanged,non-venomous,unclear dangerousness,Cook's tree boa
Corallus,cropanii,non-fanged,non-venomous,unclear dangerousness,Cropan's tree boa
Corallus,grenadensis,non-fanged,non-venomous,unclear dangerousness,Grenadian tree boa
Corallus,hortulanus,non-fanged,non-venomous,constrictor harmful,Amazon tree boa
Corallus,ruschenbergerii,non-fanged,non-venomous,unclear dangerousness,Central American tree boa
Epicrates,alvarezi,non-fanged,non-venomous,unclear dangerousness,Argentinian rainbow boa
Epicrates,assisi,non-fanged,non-venomous,unclear dangerousness,Caatinga rainbow boa
Epicrates,cenchria,non-fanged,non-venomous,constrictor harmful,Brazilian rainbow boa
Epicrates,crassus,non-fanged,non-venomous,unclear dangerousness,Paraguayan rainbow boa
Epicrates,maurus,non-fanged,non-venomous,constrictor harmful,Colombian rainbow boa
Eunectes,beniensis,non-fanged,non-venomous,constrictor dangerous,Bolivian anaconda
Eunectes,deschauenseei,non-fanged,non-venomous,constrictor dangerous,Dark spotted anaconda
Eunectes,murinus,non-fanged,non-venomous,constrictor extremely dangerous,Green anaconda
Eunectes,notaeus,non-fanged,non-venomous,constrictor dangerous,Yellow anaconda
Calabaria,reinhardtii,non-fanged,non-venomous,constrictor considered harmless,Calabar ground boa
Candoia,aspera,non-fanged,non-venomous,constrictor considered harmless,Viper boa
Candoia,bibroni,non-fanged,non-venomous,constrictor harmful,Pacific tree boa
Candoia,carinata,non-fanged,non-venomous,constrictor considered harmless,Pacific Ground Boa
Candoia,paulsoni,non-fanged,non-venomous,unclear dangerousness,Solomon Island ground boa
Candoia,superciliosa,non-fanged,non-venomous,unclear dangerousness,Palau bevel nosed boa
Charina,bottae,non-fanged,non-venomous,constrictor considered harmless,Rubber boa
Charina,umbratica,non-fanged,non-venomous,unclear dangerousness,Southern Rubber Boa
Lichanura,orcutti,non-fanged,non-venomous,unclear dangerousness,Northern Three lined Boa
Lichanura,trivirgata,non-fanged,non-venomous,constrictor considered harmless,Rosy boa
Eryx,borrii,non-fanged,non-venomous,constrictor considered harmless,Sand boa
Eryx,colubrinus,non-fanged,non-venomous,constrictor considered harmless,Kenyan sand boa
Eryx,conicus,non-fanged,non-venomous,constrictor considered harmless,Common sand boa
Eryx,elegans,non-fanged,non-venomous,unclear dangerousness,Elegant sand boa
Eryx,jaculus,non-fanged,non-venomous,constrictor considered harmless,Javelin sand boa
Eryx,jayakari,non-fanged,non-venomous,unclear dangerousness,Arabian sand boa
Eryx,johnii,non-fanged,non-venomous,constrictor considered harmless,Indian sand boa
Eryx,miliaris,non-fanged,non-venomous,unclear dangerousness,Dwarf sand boa
Eryx,muelleri,non-fanged,non-venomous,constrictor considered harmless,Müller’s sand boa
Eryx,somalicus,non-fanged,non-venomous,unclear dangerousness,Somali sand boa
Eryx,tataricus,non-fanged,non-venomous,unclear dangerousness,Tartar sand boa
Eryx,whitakeri,non-fanged,non-venomous,unclear dangerousness,Whitaker's sandboa
Acrantophis,dumerili,non-fanged,non-venomous,constrictor harmful,Dumeril's ground boa
Acrantophis,madagascariensis,non-fanged,non-venomous,constrictor dangerous,Madagascar ground boa
Sanzinia,madagascariensis,non-fanged,non-venomous,constrictor dangerous,Madagascar tree boa
Sanzinia,volontany,non-fanged,non-venomous,unclear dangerousness,Madagascar tree boa
Exiliboa,placata,non-fanged,non-venomous,unclear dangerousness,Oaxacan dwarf boa
Ungaliophis,continentalis,non-fanged,non-venomous,unclear dangerousness,Chiapan boa
Ungaliophis,panamensis,non-fanged,non-venomous,constrictor considered harmless,Panamanian dwarf boa
Calamaria,abramovi,rear-fanged,unclear toxicity,???,Mang Xang Reed Snake
Calamaria,abstrusa,rear-fanged,unclear toxicity,???,Padang Reed Snake
Calamaria,acutirostris,rear-fanged,unclear toxicity,???,Pointed Snout Reed Snake
Calamaria,albiventer,rear-fanged,unclear toxicity,???,White bellied Reed Snake
Calamaria,alidae,rear-fanged,unclear toxicity,???,Bengkulu Reed Snake
Calamaria,apraeocularis,rear-fanged,unclear toxicity,???,Apreocular Reed Snake
Calamaria,banggaiensis,rear-fanged,unclear toxicity,???,Banggai reed snake
Calamaria,battersbyi,rear-fanged,unclear toxicity,???,Battersby's Reed Snake
Calamaria,bicolor,rear-fanged,unclear toxicity,???,Two colored Dwarf Snake
Calamaria,bitorques,rear-fanged,unclear toxicity,???,Luzon Dwarf Snake
Calamaria,boesemani,rear-fanged,unclear toxicity,???,Boeseman’s Reed Snake
Calamaria,borneensis,rear-fanged,unclear toxicity,???,Bornean Reed Snake
Calamaria,brongersmai,rear-fanged,unclear toxicity,???,Brongersma’s Reed Snake
Calamaria,buchi,rear-fanged,unclear toxicity,???,Dalat Dwarf Snake
Calamaria,butonensis,rear-fanged,unclear toxicity,???,Buton Reed Snake
Calamaria,ceramensis,rear-fanged,unclear toxicity,???,Seram Reed Snake
Calamaria,concolor,rear-fanged,unclear toxicity,???,Bach Ma Reed Snake
Calamaria,crassa,rear-fanged,unclear toxicity,???,Thick Reed Snake
Calamaria,curta,rear-fanged,unclear toxicity,???,Dark bellied Reed Snake
Calamaria,doederleini,rear-fanged,unclear toxicity,???,Döderlein's Reed Snake
Calamaria,eiselti,rear-fanged,unclear toxicity,???,Eiselt's Reed Snake
Calamaria,everetti,rear-fanged,unclear toxicity,???,Everett's Reed Snake
Calamaria,forcarti,rear-fanged,unclear toxicity,???,Forcart's Reed Snake
Calamaria,gervaisii,rear-fanged,unclear toxicity,???,Philippine Dwarf Snake
Calamaria,gialaiensis,rear-fanged,unclear toxicity,???,Gia Lai reed snake
Calamaria,grabowskyi,rear-fanged,unclear toxicity,???,Grabowsky's Reed Snake
